item_id,item_name,order_count
754935,Unspecified,215644
5936269,Chinabox Lille,143976
429645,Øl/Vand/Spiritus,143596
4707466,Entré,137115
5936270,Chinabox Mellem,126788
5958699,ØL,110748
5230506,ØL,105100
429643,Øl/Vand/Spiritus,104852
5954042,"Øl 40,-",97839
4083483,Bland selv,87968
4708159,Slush Ice,76850
5936271,Chinabox Stor,68320
386688,Unspecified,67784
460220,Unspecified,60679
764238,Øl Efter Kl 22,53250
5938034,Soft Water,52860
5958702,FAD 1,52440
480007,Alm Øl,51472
3081119,Mad,50128
1895406,Kolonial,49746
4709272,Strømper,49540
781094,Juice (55),49461
5228521,Fredags Øl,48245
781095,Shakes,43932
615580,Ristet Hotdog,39666
5937286,Dåse,39106
5953237,Carlsberg,36760
615418,Øl Alm.,36713
2267546,Unspecified,36348
2759538,Div. Is,36303
3941890,Fisk,34092
5718587,Mini donut,32815
3547231,3 x empanadas,32012
622799,Alm Sandwich,31668
5968472,Softice,31578
429647,Lux.Øl/Spiritus,30424
5973767,Unspecified,30372
781093,Juice (50),29328
2152057,Tuborg,29292
1499385,ØL,29012
630355,Best 6,28880
630403,Best 11,28834
5985565,Frokost slice,28152
832743,Unspecified,28086
764236,Øl,28080
4708092,Kaffe Latte / Chai Latte,27905
3896095,Sodavand 25 cl,27349
5953244,Guinness,27304
5938109,Entré,27200
1686972,2 kugler,26856
653549,Lille box,26418
2152080,Høker stor,26332
698702,Unspecified,26175
5954053,Sodavand,26172
5950906,HAANDMAD,25756
822767,Øl,25674
5938081,Unspecified,25360
428984,Hotdog,25171
615581,Fransk Hotdog,24858
1685168,Frugt og gront,24812
3896105,Frokost Voksen,24682
1090102,Unspecified,24647
781111,Panini (70),24336
5938201,Slush Ice,24288
5953238,Classic,23152
5963364,Sandwich,23072
429646,Øl/Vand/Spiritus,23048
653567,Mellem box,22893
624764,Unspecified,22792
630397,Best 10,22752
5230488,FREDAGS ØL,22615
4708050,Alm. Kaffe/ Te,22475
5962336,Unspecified,22400
5954106,"Sprit 42,-",22338
4707780,Pølsehorn,22165
5958704,FAD 3,22080
3547228,2 x empanadas,22050
630347,Best 5,21906
5958700,LUX,21504
1642563,Øl,21127
618681,Unspecified,21041
716632,Alm Øl (Fra kl12-16),21020
1917755,Stor Fadøl,20784
390524,Panang Karry - Kylling,20396
3896099,Fadøl - Tuborg / Tuborg classic,19985
5977902,2 Kugle,19865
751704,Øl Alm,19591
5958701,VAND,19212
2562162,Kildevand,19095
390551,Dåse Sodavand,19004
5950915,DIVERSE SALG,18424
3048297,Fadøl,18393
5230538,SPRIT,18365
1687098,drys,18279
5939679,Unspecified,18045
1137999,Klip øl,17874
5986641,Smag Salad,17590
4707719,Muffin/Scon/cookies,17585
533899,40 Cl Beer,17523
3081123,Vin,17453
5962665,rose,17368
558696,Bolle,17351
622204,Dürüm med Shawarma (Kalvekød),17099
1687083,Lille,17061
3896102,Ramlösa 80 cl,16856
2562163,Dåse Sodavand,16800
656723,Latte,16770
4707804,Kyllingespyd,16735
5953386,Carlsberg,16728
489660,Bagel med Fyld,16634
764250,Dobbelt Drink,16440
5977268,Tobak,16160
966743,Bland Selv,16120
757610,Unspecified,15966
429168,Øl,15916
534410,Alm. Øl,15838
5949737,Unspecified,15724
5954224,Unspecified,15552
1127549,Slagtervarer,15543
5954108,"Shot 35,-",15516
480020,10 Turskort,15482
5230517,VAND,15455
558692,Stor Cappuccino,15419
3547226,Empanada,15393
716905,Aften Øl,15276
5965781,Sodavand 50 cl,15050
630413,Best 12,14978
390496,Pad Thai - Kylling,14956
603362,Kage/Choko Bar,14953
